,0
0,2.17763584385
1,1.93315394005
2,2.61717843261
3,0.738993110252
4,2.85343694835
5,1.9831972848
6,0.440408600363
7,-0.901700054436
8,2.04187541508
9,1.2871995425
10,-0.61873926546
11,-0.582979129731
12,-0.654698636475
13,2.21850327012
14,0.395831809121
15,2.41199372821
16,2.10437421616
17,2.90117790873
18,-0.980428342574
19,2.87109288186
20,0.746347424142
21,1.45401997498
22,2.25568592549
23,2.66247052794
24,0.193575459681
25,-0.310988564254
26,0.624713512501
27,0.937377665868
28,-0.584184294111
29,1.47451695258
30,2.3592272301
31,-0.53387623581
32,1.18421777243
33,0.0753580075132
34,2.63155937426
35,1.81430319093
36,2.30597076595
37,0.724117739258
38,2.92334620338
39,1.74634673381
40,0.590709158466
41,-0.646125947481
42,-0.442068468399
43,-0.975678206431
44,1.49625318497
45,0.279409470921
46,1.69796457743
47,2.09846070006
48,0.999321020331
49,1.27187062161
50,0.355845324659
51,2.99849521716
52,1.43815817875
53,0.0904854052615
54,1.11177977137
55,2.11113011152
56,-0.200120956981
57,2.16454383577
58,1.45934349715
59,0.7616197261
60,2.91403145428
61,1.16732847308
62,-0.628060055322
63,-0.235264177414
64,-0.356781590977
65,-0.462374223719
66,1.10094596383
67,0.750865493126
68,-0.0724996032829
69,0.571320251012
70,-0.201649419914
71,-0.697577602885
72,0.0226593561577
73,0.0235702264072
74,-0.930344085363
75,1.49919934758
76,1.78177692979
77,1.22540668794
78,0.331365104328
79,1.96976756506
80,1.51098215749
81,1.76584377888
82,-0.215892353031
83,2.3889932755
84,1.09797055379
85,2.12131907857
86,2.78435470874
87,0.890201928395
88,-0.15749617743
89,-0.699298166075
90,2.22572238704
91,-0.685931574387
92,1.28655360516
93,1.00565599515
94,0.364220550257
95,0.0125073471799
96,1.14827620089
97,1.26826673015
98,0.412704488196
99,0.461925927703
100,2.03605115227
101,-0.713710408603
102,2.21725691541
103,1.07612091818
104,2.55564738548
105,0.342621367476
106,0.193179049296
107,2.00677361613
108,0.903267841184
109,0.663514700682
110,-0.684371225287
111,2.52168512164
112,-0.672140853877
113,0.829692271909
114,2.46463339929
115,-0.805842341992
116,1.40603682299
117,0.151034051144
118,2.66029051748
119,1.23279284162
120,0.0427118705287
121,2.00225417802
122,-0.415499221991
123,-0.704307559372
124,-0.373645169409
125,-0.36864976217
126,0.975557513993
127,2.4131698459
128,2.85120664418
129,-0.941621963897
130,0.931985870683
131,2.01594401952
132,2.92787887179
133,1.12937083064
134,0.815105958909
135,2.63982453751
136,-0.4521455558
137,0.395593626053
138,1.51040303421
139,0.119730970632
140,1.1785117019
141,1.66666447814
142,-0.343404439984
143,0.147823666937
144,0.565339662335
145,1.84145941627
146,1.57112713796
147,1.25815860931
148,-0.591378059666
149,2.5620279815
150,2.97457685278
151,1.37549653353
152,1.3094082369
153,2.40471932113
154,0.3051701445
155,2.67178731593
156,-0.379122587071
157,2.89657343609
158,2.97797133522
159,0.00854812714317
160,-0.217206956282
161,1.7026754941
162,2.70864732437
163,1.49884283251
164,-0.930705615468
165,-0.0281532099603
166,0.470127739027
167,0.297238886954
168,0.345352625134
169,-0.740239985518
170,2.24058037536
171,2.78481285209
172,2.63795456181
173,-0.108074866769
174,-0.786469184603
175,0.687049297829
176,0.501560491514
177,-0.0324173173705
178,2.33643498823
179,-0.6918231397
180,0.417343653607
181,-0.541082698155
182,-0.141699170875
183,1.12340262576
184,-0.815497235941
185,1.76373507566
186,0.345739197309
187,-0.558753680592
188,2.03437423512
189,2.86137918815
190,1.3085134297
191,0.24939077929
192,1.09918979463
193,-0.632332771259
194,2.31116326385
195,2.99832281087
196,2.45148345385
197,0.8539334563
198,2.66962438984
199,1.7853312789
200,-0.720506986861
201,0.740683276292
202,1.26695862322
203,-0.418049112183
204,1.07683242239
205,1.40595438222
206,1.34616124207
207,-0.532901689666
208,-0.990851193567
209,1.21059820654
210,1.79660179439
211,2.6944822317
212,0.724849315826
213,-0.48550234412
214,0.750925526665
215,-0.113226275124
216,2.56219234572
217,1.01375752597
218,1.26619838918
219,-0.252521676078
220,-0.0930053277085
221,1.67267204732
222,1.73867351385
223,1.9047285013
224,-0.456637906615
225,-0.634343386855
226,1.67016101995
227,2.2685574145
228,1.69693321889
229,1.91940852916
230,1.42997640966
231,1.74421267553
232,1.59175448724
233,0.03239062761
